NominalGDP,RealGDP,CPIInflationA,CPIInflationQ
356625,411518,3.3,1.4
365661,416775,3.5,0.9
372465,422471,3.4,0.6
373044,427027,3,0
373918,431099,1.6,0.1
379405,434262,1.2,0.5
380153,436775,2,1.4
381711,438872,2.2,0.2
385091,440847,2.5,0.4
389762,442586,2.4,0.4
393815,446167,2.2,1.2
399880,449767,2.7,0.8
402888,453176,2.9,0.6
402925,455338,3,0.5
402676,457366,2.3,0.5
405123,459033,1.7,0.2
407786,463243,1.3,0.2
407177,463652,1.5,0.7
411639,468435,1.5,0.5
411826,471248,1.7,0.4
414493,475461,1.3,-0.2
419611,478482,1,0.4
425265,478962,1.3,0.7
439166,483900,1.5,0.5
447219,485494,2.1,0.5
446751,488485,1.9,0.2
452535,493166,1.8,0.6
455363,495335,1.9,0.6
464277,500175,1.9,0.4
469755,504005,2.1,0.4
477444,506317,1.9,0.4
482593,507235,1.8,0.5
489355,510008,1.3,0
495888,512390,1.6,0.6
503976,516158,1.7,0.5
502743,518390,1.8,0.7
505087,517516,2.2,0.3
466095,482850,-0.3,-1.9
488464,501568,0.7,1.6
511158,517709,0.9,0.9
533333,528559,1.1,0.6
547087,532583,3.8,0.8
545989,522168,3,0.8
563583,541273,3.5,1.3
587758,544364,5.1,2.1
611328,549274,6.1,1.8
618436,553036,7.3,1.8
631402,555690,7.8,1.9
